Month,Sales
01/01/2018,266
01/02/2018,145.9
01/03/2018,183.1
01/04/2018,119.3
01/05/2018,180.3
01/06/2018,168.5
01/07/2018,231.8
01/08/2018,224.5
01/09/2018,192.8
01/10/2018,122.9
01/11/2018,336.5
01/12/2018,185.9
01/01/2019,194.3
01/02/2019,149.5
01/03/2019,210.1
01/04/2019,273.3
01/05/2019,191.4
01/06/2019,287
01/07/2019,
01/08/2019,303.6
01/09/2019,289.9
01/10/2019,421.6
01/11/2019,264.5
01/12/2019,342.3
01/01/2020,339.7
01/02/2020,440.4
01/03/2020,315.9
01/04/2020,439.3
01/05/2020,
01/06/2020,437.4
01/07/2020,575.5
01/08/2020,407.6
01/09/2020,682
01/10/2020,475.3
01/11/2020,581.3
01/12/2020,646.9
